vendor,current_price,old_price,product_name,month
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,77.01,83.43,Beef Tenderloin Roast,9
Loblaws,77.01,83.43,Beef Tenderloin Roast,9
Loblaws,77.01,83.43,Beef Tenderloin Roast,9
Loblaws,77.01,83.43,Beef Tenderloin Roast,9
Loblaws,77.01,83.43,Beef Tenderloin Roast,9
Loblaws,77.01,83.43,Beef Tenderloin Roast,9
Loblaws,77.01,83.43,Beef Tenderloin Roast,9
Loblaws,77.01,83.43,Beef Tenderloin Roast,9
Loblaws,77.01,83.43,Beef Tenderloin Roast,9
Loblaws,77.01,83.43,Beef Tenderloin Roast,9
Loblaws,77.01,83.43,Beef Tenderloin Roast,9
Loblaws,77.01,83.43,Beef Tenderloin Roast,9
Loblaws,77.01,83.43,Beef Tenderloin Roast,9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,24.77,28.150000000000002,"Certified Angus Beef Striploin Grill Steak, Service Case",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
